"Dataset" "Model" "R_squared"
"1" "Training Cohort" "Model" 0.135215269105004
"2" "Training Cohort" "Model" 0.169170334836709
"3" "Training Cohort" "Model" 0.159868441842531
"4" "Training Cohort" "Model" 0.154846037391822
"5" "Training Cohort" "Model" 0.166846512199623
"6" "Training Cohort" "Model" 0.156874694694581
"7" "Training Cohort" "Model" 0.129970528089677
"8" "Training Cohort" "Model" 0.14770507837109
"9" "Training Cohort" "Model" 0.142172718215632
"10" "Training Cohort" "Model" 0.151152361235136
"11" "Training Cohort" "Model" 0.127795316844033
"12" "Training Cohort" "Model" 0.14301705654923
"13" "Training Cohort" "Model" 0.154693701307427
"14" "Training Cohort" "Model" 0.146301405166651
"15" "Training Cohort" "Model" 0.149614686798874
"16" "Training Cohort" "Model" 0.140254929983916
"17" "Training Cohort" "Model" 0.112878531680241
"18" "Training Cohort" "Model" 0.147569302782996
"19" "Training Cohort" "Model" 0.134249634606248
"20" "Training Cohort" "Model" 0.119125623491512
"21" "Training Cohort" "Model" 0.160204700800537
"22" "Training Cohort" "Model" 0.125979818611906
"23" "Training Cohort" "Model" 0.154761328478318
"24" "Training Cohort" "Model" 0.15329526084673
"25" "Training Cohort" "Model" 0.198803430365866
"26" "Training Cohort" "Model" 0.144599330152301
"27" "Training Cohort" "Model" 0.149962256374197
"28" "Training Cohort" "Model" 0.149340641442736
"29" "Training Cohort" "Model" 0.166261415945904
"30" "Training Cohort" "Model" 0.136754262485145
"31" "Training Cohort" "Model" 0.140775075553954
"32" "Training Cohort" "Model" 0.134144930807283
"33" "Training Cohort" "Model" 0.156131272355589
"34" "Training Cohort" "Model" 0.165573742348182
"35" "Training Cohort" "Model" 0.157928725044033
"36" "Training Cohort" "Model" 0.157975151232447
"37" "Training Cohort" "Model" 0.144184415079009
"38" "Training Cohort" "Model" 0.148140741983149
"39" "Training Cohort" "Model" 0.121263470138573
"40" "Training Cohort" "Model" 0.144676162796959
"41" "Training Cohort" "Model" 0.171961661287821
"42" "Training Cohort" "Model" 0.125650777124474
"43" "Training Cohort" "Model" 0.140601538651978
"44" "Training Cohort" "Model" 0.155613091265515
"45" "Training Cohort" "Model" 0.122075415667342
"46" "Training Cohort" "Model" 0.171522719045372
"47" "Training Cohort" "Model" 0.125944295236223
"48" "Training Cohort" "Model" 0.145878148489737
"49" "Training Cohort" "Model" 0.131036456413867
"50" "Training Cohort" "Model" 0.140272113389503
"51" "Training Cohort" "Model" 0.135696075506473
"52" "Training Cohort" "Model" 0.128557391043364
"53" "Training Cohort" "Model" 0.134000140025325
"54" "Training Cohort" "Model" 0.181296434013879
"55" "Training Cohort" "Model" 0.168843166437169
"56" "Training Cohort" "Model" 0.17118021973265
"57" "Training Cohort" "Model" 0.13986078266041
